nr_rejestracyjny	marka	model
AA001	Citroen	Jumper
AA002	Fiat	Ducato
AA003	Citroen	Berlingo
AA004	Ford	Transit
AA005	Fiat	Ducato
AA006	Iveco	Daily
AA007	Ford	Transit
AA008	Citroen	Jumper
AA009	Mercedes	Vito
AA010	Ford	Transit
AA011	Citroen	Berlingo
AA012	Fiat	Ducato
AA013	Mercedes	Sprinter
AA014	Citroen	Jumper
AA015	Fiat	Ducato
AA016	Mercedes	Vito
AA017	Citroen	Berlingo
AA018	Iveco	Daily
AA019	Mercedes	Sprinter
AA020	Citroen	Jumper
AA021	Opel	Vivaro
AA022	Mercedes	Sprinter
AA023	Citroen	Berlingo
AA024	Ford	Transit
AA025	Iveco	Daily
AA026	Mercedes	Sprinter
AA027	Citroen	Jumper
AA028	Fiat	Ducato
AA029	Mercedes	Vito
AA030	Ford	Transit
