nr_rejestracyjny	id_naprawy	czasnaprawy
AA001	p2	02:46:00
AA003	p9	00:54:00
AA004	p11	02:30:00
AA005	p6	02:56:00
AA006	p4	02:47:00
AA008	p16	02:46:00
AA009	p13	02:43:00
AA010	p4	02:05:00
AA011	p2	01:45:00
AA013	p5	02:37:00
AA014	p4	00:41:00
AA015	p15	00:58:00
AA016	p6	01:19:00
AA017	p3	00:31:00
AA019	p14	02:12:00
AA020	p1	01:44:00
AA021	p18	00:31:00
AA022	p7	00:38:00
AA024	p2	02:25:00
AA025	p6	02:18:00
AA026	p5	02:15:00
AA027	p11	01:41:00
AA028	p7	00:34:00
AA029	p4	02:31:00
AA019	p19	00:37:00
AA001	p19	00:54:00
AA005	p12	02:04:00
AA006	p8	00:33:00
AA007	p2	01:59:00
AA008	p2	01:18:00
AA009	p6	01:20:00
AA010	p5	02:35:00
AA011	p19	01:07:00
AA013	p8	00:52:00
AA014	p15	00:55:00
AA015	p18	00:31:00
AA016	p8	00:45:00
AA017	p15	00:52:00
AA018	p2	02:41:00
AA019	p16	02:46:00
AA020	p5	01:26:00
AA021	p19	01:21:00
AA022	p18	01:01:00
AA024	p10	00:36:00
AA025	p16	02:32:00
AA026	p6	02:21:00
AA027	p13	01:38:00
AA028	p4	02:18:00
AA029	p12	01:42:00
AA030	p5	02:11:00
AA001	p18	01:07:00
AA002	p8	00:47:00
AA003	p13	01:43:00
AA004	p1	00:52:00
AA005	p15	00:37:00
AA006	p2	01:53:00
AA007	p4	02:26:00
AA008	p18	00:42:00
AA009	p12	02:20:00
AA010	p3	00:42:00
AA011	p1	01:28:00
AA012	p14	01:47:00
AA013	p20	01:37:00
AA014	p11	01:53:00
AA015	p3	00:59:00
AA016	p2	01:18:00
AA017	p13	02:12:00
AA018	p15	00:31:00
AA019	p11	02:13:00
AA020	p7	00:56:00
AA021	p5	01:21:00
AA022	p2	01:36:00
AA019	p3	00:23:00
AA024	p22	02:06:00
AA025	p11	01:54:00
AA026	p20	01:36:00
AA027	p2	02:03:00
AA028	p22	02:15:00
AA029	p20	01:32:00
AA030	p15	00:51:00
AA001	p15	00:45:00
AA002	p19	01:02:00
AA003	p17	02:42:00
AA004	p21	02:30:00
AA005	p8	00:50:00
AA006	p8	00:36:00
AA007	p22	02:39:00
AA008	p7	00:46:00
AA009	p3	00:37:00
AA010	p6	01:48:00
AA011	p4	02:52:00
AA012	p13	01:40:00
AA013	p21	02:41:00
AA014	p22	02:08:00
AA015	p11	00:58:00
AA016	p10	00:35:00
AA017	p21	00:38:00
AA019	p3	01:26:00
AA019	p6	02:49:00
AA020	p13	02:43:00
AA021	p19	01:13:00
AA022	p13	02:42:00
AA019	p9	01:08:00
AA024	p13	01:43:00
AA025	p22	02:50:00
AA026	p22	02:46:00
AA027	p10	00:43:00
AA028	p19	00:59:00
AA029	p8	00:36:00
AA030	p5	01:57:00
AA001	p9	01:00:00
AA002	p14	02:13:00
AA003	p8	00:27:00
AA004	p5	01:48:00
AA005	p7	00:43:00
AA006	p5	01:45:00
AA007	p21	02:21:00
AA008	p4	01:55:00
AA009	p11	02:06:00
AA010	p12	02:07:00
AA019	p9	00:41:00
AA012	p8	00:32:00
AA013	p1	01:21:00
AA014	p3	00:49:00
AA015	p8	00:49:00
AA016	p2	02:42:00
AA017	p15	00:32:00
AA018	p9	00:35:00
AA019	p13	02:50:00
AA020	p10	00:41:00
AA021	p11	01:40:00
AA022	p7	00:34:00
AA019	p21	02:24:00
AA024	p2	01:40:00
AA025	p21	02:50:00
AA026	p12	02:27:00
AA027	p22	02:22:00
AA028	p17	01:46:00
AA029	p1	00:48:00
AA030	p6	01:49:00
AA001	p3	00:59:00
AA002	p1	01:40:00
AA003	p13	01:50:00
AA019	p9	00:33:00
AA005	p5	01:55:00
AA006	p18	00:40:00
AA007	p12	02:59:00
AA008	p17	02:35:00
AA009	p5	01:57:00
AA010	p11	02:53:00
AA011	p18	00:57:00
AA012	p17	02:46:00
AA013	p17	02:49:00
AA014	p8	00:46:00
AA015	p16	02:03:00
AA016	p18	00:41:00
AA017	p18	00:39:00
AA018	p4	01:58:00
AA019	p17	02:13:00
AA020	p5	02:33:00
AA021	p21	02:10:00
AA022	p21	02:34:00
AA019	p9	00:57:00
AA024	p12	01:59:00
AA025	p13	02:13:00
AA026	p17	02:08:00
AA027	p22	01:53:00
AA028	p9	00:53:00
AA029	p10	00:42:00
AA030	p1	00:48:00
