ID_Miejsca;Miejsce;Rzedu_ID
1;01;1
2;02;1
3;03;1
4;04;1
5;05;1
6;06;1
7;07;1
8;08;1
9;09;1
10;10;1
11;11;1
12;12;1
13;13;1
14;14;1
15;15;1
16;01;2
17;02;2
18;03;2
19;04;2
20;05;2
21;06;2
22;07;2
23;08;2
24;09;2
25;10;2
26;11;2
27;12;2
28;13;2
29;14;2
30;15;2
31;01;3
32;02;3
33;03;3
34;04;3
35;05;3
36;06;3
37;07;3
38;08;3
39;09;3
40;10;3
41;11;3
42;12;3
43;13;3
44;14;3
45;15;3
46;01;4
47;02;4
48;03;4
49;04;4
50;05;4
51;06;4
52;07;4
53;08;4
54;09;4
55;10;4
56;11;4
57;12;4
58;13;4
59;14;4
60;15;4
61;01;5
62;02;5
63;03;5
64;04;5
65;05;5
66;06;5
67;07;5
68;08;5
69;09;5
70;10;5
71;11;5
72;12;5
73;13;5
74;14;5
75;15;5
76;01;6
77;02;6
78;03;6
79;04;6
80;05;6
81;06;6
82;07;6
83;08;6
84;09;6
85;10;6
86;11;6
87;12;6
88;13;6
89;14;6
90;15;6
91;01;7
92;02;7
93;03;7
94;04;7
95;05;7
96;06;7
97;07;7
98;08;7
99;09;7
100;10;7
101;11;7
102;12;7
103;13;7
104;14;7
105;15;7
106;01;8
107;02;8
108;03;8
109;04;8
110;05;8
111;06;8
112;07;8
113;08;8
114;09;8
115;10;8
116;11;8
117;12;8
118;13;8
119;14;8
120;15;8
121;01;9
122;02;9
123;03;9
124;04;9
125;05;9
126;06;9
127;07;9
128;08;9
129;09;9
130;10;9
131;11;9
132;12;9
133;13;9
134;14;9
135;15;9
136;01;10
137;02;10
138;03;10
139;04;10
140;05;10
141;06;10
142;07;10
143;08;10
144;09;10
145;10;10
146;11;10
147;12;10
148;13;10
149;14;10
150;15;10
