ID_Rezerwacji;Seansu_ID;Miejsca_ID;Klient_ID
1;1;33;2
2;1;52;1
3;4;148;199
4;4;144;160
5;4;145;160
6;24;143;27
7;24;144;27
8;30;128;204
9;42;128;194
10;33;127;235
11;6;113;27
12;35;115;227
13;42;111;180
14;7;97;236
15;21;85;219
16;40;69;163
17;5;127;13
18;7;109;61
19;7;96;47
20;14;69;100
21;34;49;89
22;25;22;101
23;28;34;234
24;25;34;250
25;38;145;112
26;10;129;251
27;3;145;1
28;40;35;144
29;43;34;153
30;9;148;99
31;9;147;99
32;9;146;99
33;9;145;99
34;33;52;255
35;33;51;255
36;33;50;255
37;40;56;265
38;16;33;255
39;22;72;144
40;14;121;239
41;28;117;160
42;18;125;211
43;7;136;36
44;15;142;153
45;1;139;155
46;21;85;256
47;32;128;91
48;32;129;91
49;32;130;91
50;42;41;255
51;14;110;66
52;35;97;255
53;3;37;202
54;3;38;202
55;34;54;239
56;6;131;221
57;6;132;221
58;19;40;165
59;27;23;165
60;31;37;197
61;21;37;27
62;39;21;28
63;27;1;123
