ID_Seansu;Filmu_ID;Termin
1;2;2016-1-2 17:30:00
2;2;2016-1-2 19:30:00
3;1;2016-1-2 21:30:00
4;3;2016-1-3 12:30:00
5;4;2016-1-3 18:00:00
6;6;2016-1-3 10:00:00
7;1;2016-1-3 17:00:00
8;1;2016-1-3 20:00:00
9;6;2016-1-4 14:30:00
10;9;2016-1-4 17:30:00
11;8;2016-1-4 21:00:00
12;10;2016-1-5 12:00:00
13;7;2016-1-5 16:00:00
14;9;2016-1-5 19:30:00
15;2;2016-1-5 22:00:00
16;1;2016-1-6 19:00:00
17;5;2016-1-7 17:00:00
18;7;2016-1-7 20:00:00
19;1;2016-1-8 18:30:00
20;1;2016-1-8 20:30:00
21;6;2016-1-9 10:30:00
22;10;2016-1-9 13:00:00
23;9;2016-1-9 18:00:00
24;3;2016-1-9 20:30:00
25;6;2016-1-10 09:30:00
26;10;2016-1-10 11:30:00
27;8;2016-1-10 14:00:00
28;5;2016-1-10 17:00:00
29;2;2016-1-10 20:00:00
30;3;2016-1-11 18:00:00
31;7;2016-1-11 21:00:00
32;1;2016-1-12 19:00:00
33;4;2016-1-13 19:00:00
34;3;2016-1-14 19:00:00
35;2;2016-1-15 19:00:00
36;10;2016-1-16 12:30:00
37;7;2016-1-16 16:30:00
38;9;2016-1-16 18:30:00
39;1;2016-1-16 21:00:00
40;6;2016-1-17 10:30:00
41;10;2016-1-17 13:30:00
42;4;2016-1-17 17:00:00
43;3;2016-1-17 20:00:00
