indeks klienta; data; Wejœcie; Wyjœcie; P/S; SEJF
2; 2017-06-26; 13:44:00; 15:20:00; P; N
2; 2017-05-20; 13:54:00; 16:53:00; P; N
3; 2017-06-08; 10:31:00; 11:05:00; S; N
4; 2017-05-15; 10:04:00; 13:36:00; S; N
5; 2017-05-19; 13:35:00; 14:57:00; P; N
6; 2017-06-01; 15:59:00; 18:05:00; P; N
8; 2017-05-02; 16:18:00; 17:53:00; S; N
11; 2017-05-14; 13:31:00; 15:55:00; P; N
11; 2017-05-21; 09:58:00; 10:36:00; P; N
12; 2017-05-03; 15:51:00; 18:13:00; P; N
12; 2017-06-18; 09:37:00; 12:52:00; P; T
13; 2017-06-24; 12:18:00; 14:06:00; P; N
14; 2017-05-19; 10:57:00; 12:25:00; P; N
15; 2017-05-14; 14:40:00; 17:43:00; P; N
16; 2017-05-26; 16:14:00; 19:54:00; P; N
17; 2017-06-21; 17:45:00; 19:22:00; P; N
18; 2017-05-11; 11:50:00; 12:55:00; P; N
19; 2017-06-03; 09:47:00; 10:54:00; P; N
19; 2017-05-30; 16:51:00; 17:29:00; P; T
19; 2017-05-18; 08:55:00; 10:16:00; P; N
20; 2017-06-23; 10:31:00; 13:33:00; S; T
20; 2017-05-12; 11:41:00; 13:19:00; P; N
21; 2017-05-05; 09:37:00; 12:52:00; P; N
21; 2017-06-10; 08:55:00; 10:16:00; P; T
22; 2017-05-19; 08:07:00; 11:57:00; S; N
22; 2017-06-17; 09:58:00; 11:11:00; P; N
23; 2017-06-07; 12:01:00; 13:08:00; P; N
24; 2017-05-22; 08:55:00; 10:16:00; P; T
25; 2017-06-06; 08:41:00; 09:59:00; S; N
25; 2017-05-14; 13:31:00; 15:55:00; P; N
25; 2017-05-18; 10:04:00; 13:36:00; P; N
26; 2017-05-03; 10:39:00; 11:46:00; S; N
27; 2017-05-24; 11:41:00; 13:19:00; P; N
28; 2017-05-08; 16:40:00; 17:40:00; S; N
28; 2017-05-18; 16:14:00; 19:54:00; P; N
29; 2017-05-21; 09:58:00; 10:36:00; S; N
29; 2017-05-14; 17:43:00; 19:31:00; P; N
29; 2017-06-07; 09:17:00; 11:31:00; P; N
32; 2017-05-10; 17:20:00; 19:35:00; P; T
32; 2017-06-21; 11:50:00; 12:55:00; P; N
32; 2017-06-29; 12:18:00; 14:06:00; P; N
33; 2017-06-06; 14:06:00; 17:15:00; P; N
33; 2017-05-19; 16:40:00; 17:40:00; P; T
37; 2017-06-15; 14:01:00; 16:47:00; P; T
38; 2017-05-11; 15:59:00; 16:34:00; P; N
39; 2017-06-19; 09:41:00; 12:58:00; P; N
39; 2017-05-16; 09:29:00; 12:05:00; P; N
40; 2017-05-12; 11:23:00; 13:09:00; P; N
40; 2017-06-22; 10:51:00; 11:05:00; P; N
40; 2017-05-07; 13:29:00; 15:47:00; P; N
41; 2017-06-17; 10:53:00; 13:11:00; P; T
42; 2017-05-11; 09:17:00; 11:31:00; P; N
43; 2017-06-22; 13:29:00; 15:47:00; P; T
44; 2017-05-07; 14:06:00; 17:15:00; P; T
44; 2017-06-19; 12:18:00; 14:06:00; P; N
45; 2017-05-13; 08:07:00; 11:57:00; P; N
45; 2017-06-06; 15:27:00; 16:13:00; P; N
46; 2017-05-13; 17:45:00; 19:22:00; P; N
46; 2017-06-18; 09:17:00; 11:31:00; S; N
48; 2017-05-13; 16:40:00; 17:40:00; P; N
48; 2017-05-21; 10:31:00; 11:05:00; P; N
50; 2017-05-10; 10:39:00; 11:46:00; P; T
50; 2017-05-28; 13:38:00; 16:22:00; P; N
51; 2017-06-25; 09:31:00; 10:53:00; P; N
51; 2017-06-07; 09:31:00; 10:53:00; P; N
51; 2017-05-03; 16:19:00; 19:59:00; S; N
52; 2017-06-21; 08:46:00; 10:52:00; P; N
53; 2017-06-12; 11:23:00; 13:09:00; P; N
54; 2017-06-02; 10:31:00; 11:05:00; P; N
56; 2017-06-23; 16:14:00; 19:54:00; P; N
57; 2017-06-17; 09:17:00; 11:31:00; P; N
58; 2017-05-20; 13:46:00; 16:01:00; S; N
59; 2017-06-13; 12:18:00; 14:06:00; S; N
59; 2017-06-12; 16:51:00; 17:29:00; P; N
59; 2017-06-10; 17:00:00; 20:17:00; P; N
61; 2017-05-06; 08:54:00; 11:54:00; P; N
62; 2017-06-04; 11:23:00; 13:09:00; S; N
62; 2017-06-26; 14:06:00; 17:15:00; P; N
