identyfikator uczestnika; identyfikator materialu
1008; r05
1014; r09
1048; r12
1053; r08
1083; r07
1085; r02
1095; r10
1136; r12
1136; w01
1139; r11
1151; r14
1165; r05
1173; r05
1196; r13
1208; r05
1208; r07
1208; w04
1215; r07
1231; r08
1242; r11
1263; r10
1278; r03
1291; r06
1301; r04
1308; r04
1330; r10
1336; r14
1336; w03
1337; r09
1344; r14
1381; r13
1381; w02
1419; r01
1420; r10
1424; r08
1430; r11
1443; r13
1484; r05
1490; r02
1494; r01
1507; r06
1509; r13
1522; r09
1525; r03
1541; r03
1553; r04
1557; r06
1560; r07
1590; r01
1627; r02
1635; w05
1638; r07
1644; r12
1676; r12
1686; r09
1739; r14
1755; w06
1766; r06
1797; r08
