identyfikator uczestnika; kolacja; materialy
1001; 1; 1
1002; 1; 0
1003; 0; 2
1004; 1; 1
1006; 1; 2
1007; 1; 1
1008; 1; 2
1009; 2; 1
1010; 1; 0
1011; 1; 1
1012; 0; 1
1013; 0; 1
1016; 0; 1
1017; 1; 0
1018; 3; 1
1019; 1; 1
1021; 1; 1
1023; 1; 1
1024; 1; 1
1025; 1; 1
1027; 0; 1
1028; 0; 1
1029; 1; 1
1031; 1; 2
1032; 0; 1
1033; 0; 1
1035; 3; 1
1036; 0; 1
1037; 1; 1
1038; 1; 1
1039; 0; 2
1040; 1; 1
1041; 0; 1
1042; 1; 1
1043; 0; 2
1046; 0; 1
1047; 1; 0
1048; 1; 1
1049; 1; 1
1051; 0; 1
1052; 0; 1
1053; 1; 1
1054; 0; 1
1055; 1; 0
1056; 1; 1
1057; 1; 1
1058; 2; 2
1059; 1; 1
1060; 2; 2
1061; 1; 1
1062; 1; 1
1063; 1; 0
1064; 0; 1
1065; 3; 1
1066; 1; 0
1067; 1; 1
1068; 0; 1
1069; 0; 1
1070; 1; 0
1071; 1; 1
1072; 2; 0
1073; 0; 1
1074; 0; 1
1075; 1; 1
1076; 1; 1
1077; 1; 2
1078; 0; 1
1079; 0; 1
1080; 1; 1
1081; 0; 1
1082; 0; 1
1083; 2; 1
1084; 1; 1
1085; 1; 1
1086; 0; 1
1089; 0; 1
1090; 0; 1
1091; 1; 1
1093; 2; 0
1095; 1; 1
1096; 0; 1
1097; 1; 1
1098; 1; 0
1099; 1; 1
1100; 1; 0
1101; 0; 1
1102; 1; 2
1103; 0; 1
1104; 0; 1
1105; 0; 1
1106; 0; 1
1107; 1; 0
1108; 0; 1
1109; 1; 0
1110; 0; 2
1111; 0; 1
1112; 1; 1
1113; 0; 1
1114; 1; 1
1115; 1; 1
1116; 1; 1
1117; 1; 1
1118; 2; 1
1119; 0; 2
1120; 0; 2
1122; 1; 1
1124; 0; 1
1125; 1; 1
1126; 0; 1
1127; 1; 2
1128; 1; 1
1129; 1; 1
1131; 1; 1
1132; 1; 1
1134; 1; 1
1135; 1; 1
1136; 1; 1
1137; 0; 1
1139; 0; 2
1140; 1; 1
1141; 0; 2
1142; 0; 1
1143; 0; 1
1144; 1; 1
1145; 0; 1
1146; 0; 1
1147; 0; 1
1148; 0; 1
1149; 0; 1
1150; 0; 2
1151; 1; 1
1153; 1; 1
1154; 1; 1
1155; 0; 1
1156; 0; 1
1157; 0; 1
1158; 1; 1
1159; 0; 1
1160; 0; 1
1161; 1; 1
1162; 1; 1
1163; 3; 1
1164; 0; 1
1165; 0; 1
1166; 0; 1
1167; 0; 1
1168; 0; 1
1170; 1; 1
1171; 0; 1
1172; 1; 1
1173; 1; 1
1174; 1; 0
1175; 1; 1
1176; 0; 1
1177; 0; 1
1178; 1; 1
1179; 0; 1
1180; 0; 1
1182; 0; 1
1183; 1; 1
1184; 3; 1
1185; 1; 0
1186; 0; 1
1188; 0; 1
1189; 0; 1
1191; 1; 1
1193; 0; 1
1194; 1; 1
1195; 0; 1
1196; 0; 1
1197; 0; 1
1200; 0; 1
1201; 1; 1
1202; 1; 0
1203; 1; 0
1204; 1; 1
1205; 0; 1
1206; 1; 1
1207; 0; 2
1208; 1; 1
1209; 0; 1
1210; 0; 1
1211; 0; 1
1212; 0; 1
1213; 1; 1
1214; 1; 1
1215; 1; 1
1216; 1; 1
1217; 0; 1
1218; 1; 1
1221; 1; 2
1222; 1; 1
1223; 0; 1
1224; 3; 1
1225; 1; 1
1227; 0; 1
1228; 0; 1
1229; 0; 1
1230; 1; 1
1231; 0; 1
1232; 1; 1
1233; 1; 1
1234; 1; 1
1235; 0; 1
1236; 1; 1
1237; 2; 1
1238; 0; 1
1239; 0; 1
1240; 1; 2
1241; 1; 1
1242; 0; 1
1243; 1; 0
1246; 0; 1
1247; 0; 2
1248; 3; 1
1249; 1; 1
1250; 0; 1
1251; 1; 0
1252; 0; 1
1253; 1; 0
1254; 0; 1
1255; 0; 1
1256; 1; 0
1259; 1; 0
1260; 1; 1
1261; 0; 1
1262; 3; 1
1263; 1; 1
1264; 1; 1
1265; 1; 1
1266; 0; 1
1267; 0; 1
1268; 1; 1
1269; 0; 1
1270; 0; 1
1271; 1; 1
1272; 0; 1
1273; 0; 1
1274; 1; 0
1275; 1; 0
1276; 0; 1
1277; 0; 2
1278; 0; 2
1279; 0; 1
1280; 0; 1
1281; 0; 1
1282; 1; 1
1283; 0; 2
1285; 0; 1
1286; 1; 1
1287; 0; 1
1288; 1; 1
1289; 1; 1
1290; 1; 1
1291; 1; 2
1292; 0; 1
1293; 1; 1
1294; 0; 1
1295; 1; 0
1296; 0; 1
1297; 1; 1
1298; 0; 1
1299; 1; 1
1300; 0; 1
1301; 1; 1
1302; 0; 1
1303; 0; 2
1304; 1; 1
1305; 1; 0
1306; 3; 1
1307; 0; 1
1308; 1; 0
1309; 1; 1
1310; 1; 1
1311; 1; 1
1312; 0; 1
1313; 0; 1
1314; 1; 0
1315; 0; 1
1316; 0; 1
1317; 1; 1
1318; 0; 1
1319; 0; 1
1320; 1; 0
1321; 0; 1
1322; 1; 1
1323; 0; 1
1324; 0; 1
1325; 1; 1
1326; 1; 1
1327; 0; 1
1328; 0; 1
1329; 2; 0
1330; 0; 1
