numer rejestracyjny;Punkt A;Punkt B
NWE1882;0,121036;0,12492
GTC6032;0,921536;0,919324
NOE1810;0,430231;0,432487
CBR1005;0,338821;0,342389
STA5802;0,163898;0,16687
FSW8833;0,250122;0,246686
BLM550S;0,203725;0,201729
RPZ6117;0,539415;0,536711
FGW7916;0,932274;0,93419
NKE9304;0,654639;0,658099
BSU7002;0,237103;0,235663
BMN6560;0,246738;0,243126
DJE4167;0,665935;0,663263
NBR3345;0,228254;0,22493
KBR5778;0,136911;0,134159
EPA8924;0,058461;0,061785
RTA5016;0,324683;0,321511
WPZ8966;0,127914;0,125618
NEL2373;0,581143;0,582967
LZA7235;0,076166;0,079482
WZW7144;0,415721;0,414217
GSZ9176;0,723821;0,725249
DSR1552;0,546939;0,550423
WZU5215;0,321966;0,324238
NGI7942;0,949083;0,946907
WSZ3763;0,387827;0,384947
ELW4637;0,058074;0,05507
CZN4614;0,075793;0,078177
CCH2234;0,208654;0,210798
OPO5592;0,959372;0,956704
WKZ1364;0,924536;0,926424
ZBI6356;0,236339;0,232615
KWI7049;0,66373;0,661114
CBY9249;0,220334;0,223314
WPY7337;0,430026;0,427134
BSI3245;0,627839;0,629735
WSI3602;0,723448;0,720864
ZWA2184;0,0893;0,093152
CIN2517;0,898089;0,900501
NNI5982;0,549686;0,553598
ZSZ2700;0,025205;0,028741
CWA4963;0,741139;0,742831
GCZ6717;0,457122;0,459358
FZA9218;0,269772;0,2661
FWS1238;0,193527;0,189871
NMR7567;0,737458;0,733682
SWD1063;0,296132;0,294508
NLI1232;0,558664;0,555544
RPR8482;0,46307;0,466978
WSC9512;0,20654;0,20846
SRB970D;0,863714;0,86517
TSK8689;0,836207;0,838875
BSE248P;0,831649;0,829857
WSE1444;0,62158;0,618292
EOP7868;0,346532;0,348816
EWI961D;0,958494;0,960798
CTR7456;0,886631;0,888683
WY58670;0,546491;0,548159
NIL3535;0,715557;0,719161
CTU1210;0,950396;0,953724
SRS2013;0,703264;0,701388
WZY9176;0,122056;0,123716
NDZ6132;0,21685;0,21871
CGD8150;0,793857;0,790437
TST606F;0,065331;0,062547
CSW4471;0,580447;0,582827
NPI2072;0,018767;0,021031
LUB9718;0,518255;0,514543
DKA1443;0,837021;0,839749
GBY2123;0,533342;0,529538
NSZ8448;0,735902;0,738062
FZI8967;0,393062;0,396126
NEB9600;0,574752;0,577936
NOL4507;0,85006;0,852996
CG97781;0,518575;0,519991
KWA6482;0,867466;0,865682
WPU705O;0,39455;0,396486
RNI2447;0,265555;0,267251
EBE7309;0,731439;0,732887
ELE4598;0,60815;0,611466
GWE660D;0,785753;0,789157
NGO9410;0,804147;0,806827
DZL5538;0,23138;0,235028
EPD1467;0,494024;0,496568
PO1852D;0,386492;0,384748
RZE7144;0,141884;0,145748
WRA7205;0,549712;0,546604
CGR5488;0,9017;0,905212
TSA2570;0,020478;0,017806
EZG9571;0,529535;0,526743
BL96936;0,533507;0,536407
TSZ4505;0,243716;0,245264
RRS3699;0,941684;0,94412
DPL8260;0,025318;0,028626
KBC3869;0,116232;0,117916
RMI3407;0,518223;0,521043
LWL5004;0,565625;0,568709
EBR2763;0,445298;0,447762
DKL3952;0,760184;0,758556
KTT2196;0,843446;0,846934
FSU1902;0,319389;0,315393
EWE4423;0,9517;0,950004
CAL4310;0,592235;0,595535
EZD788M;0,308096;0,306204
POB1989;0,097732;0,094488
NBA1025;0,660371;0,657027
GDA2515;0,029668;0,032876
NOG3903;0,733652;0,73118
FZG8877;0,167017;0,165389
STY3028;0,856467;0,859255
SRC6856;0,511733;0,514597
ETM257F;0,951741;0,949361
GCH864N;0,814354;0,811718
BSK5990;0,463111;0,459915
FSL6199;0,031198;0,029186
WSK6080;0,048832;0,050776
NOL4507;0,331623;0,333795
NNM3913;0,28364;0,279908
CWL381S;0,572454;0,575662
CLI5630;0,797157;0,795241
DST6471;0,672884;0,67136
WK95525;0,62825;0,62471
WW85062;0,22853;0,23115
LB56852;0,067061;0,070061
CT31774;0,252019;0,255247
LU68482;0,37009;0,368454
RZE7144;0,982479;0,985851
PO13340;0,893846;0,897066
WW20137;0,658308;0,655168
WL49978;0,325556;0,327264
CB96618;0,346971;0,345135
DB79091;0,270765;0,267621
WI3373K;0,380658;0,379094
EP37557;0,19934;0,196364
FG18816;0,867608;0,870388
FZ46305;0,718287;0,720527
SB16521;0,410608;0,412908
OP99731;0,688907;0,692491
CW78453;0,246847;0,243747
RT86483;0,484773;0,482797
ST19923;0,845539;0,846971
WW8829E;0,161404;0,158052
WS87052;0,138354;0,13685
SC21037;0,125704;0,122964
WR41039;0,467296;0,469336
SZ51491;0,946975;0,949827
SW39699;0,864136;0,86698
WW50312;0,064592;0,06104
WX21908;0,965903;0,963275
BS62755;0,359732;0,356328
DL33730;0,682219;0,683935
SR84334;0,929922;0,926122
OB18936;0,724093;0,726493
GD23556;0,863095;0,859147
WZ23965;0,534296;0,535932
GA77712;0,061956;0,058572
NE78145;0,731584;0,729212
SY38147;0,932364;0,9305
WJ87174;0,371243;0,369847
RP20247;0,82938;0,827332
LZ36064;0,515621;0,513793
WU95639;0,463843;0,466563
WT96288;0,75155;0,754326
NO84797;0,506811;0,504927
WA22592;0,064921;0,062061
NBA1025;0,368746;0,370474
NBR3345;0,90526;0,90354
NDZ6132;0,759666;0,755858
NE78145;0,847102;0,848998
NEB9600;0,782402;0,784954
NEL2373;0,841834;0,840086
NGI7942;0,126585;0,129029
NGO9410;0,834863;0,832995
NIL3535;0,022539;0,020255
NKE9304;0,170194;0,173866
NLI1232;0,521669;0,525317
NMR7567;0,058332;0,055496
NNI5982;0,581494;0,57857
NNM3913;0,918554;0,92223
NO84797;0,897087;0,893735
NOE1810;0,316518;0,312738
NOG3903;0,871714;0,875518
NOL4507;0,423219;0,426271
NOL4507;0,591536;0,587692
NPI2072;0,879507;0,882555
NSZ8448;0,848275;0,849995
NWE1882;0,290026;0,291682
NBA1025;0,417331;0,419491
NBR3345;0,087447;0,085183
NDZ6132;0,999438;0,996754
NE78145;0,575983;0,579487
NEB9600;0,170068;0,167396
NEL2373;0,074226;0,075994
NGI7942;0,513014;0,511586
NGO9410;0,994567;0,996207
NIL3535;0,726802;0,72869
NKE9304;0,921802;0,919946
NLI1232;0,73686;0,734604
NMR7567;0,954863;0,952187
NNI5982;0,175047;0,178935
NNM3913;0,427692;0,429316
NO84797;0,176795;0,174771
NOE1810;0,409554;0,41143
NOG3903;0,686852;0,690504
NOL4507;0,211822;0,208802
NOL4507;0,432521;0,431105
NPI2072;0,398974;0,400526
NSZ8448;0,439323;0,436791
NWE1882;0,141675;0,138651
NMR7567;0,853424;0,856148
NNI5982;0,186281;0,183713
NNM3913;0,089881;0,092345
NO84797;0,024351;0,026023
NOE1810;0,897989;0,899861
NOG3903;0,869726;0,86769
NMR7567;0,448474;0,451698
NNI5982;0,583077;0,580181
NNM3913;0,84017;0,84219
NO84797;0,802827;0,805091
NOE1810;0,076985;0,073173
NOG3903;0,98944;0,987728
NMR7567;0,38586;0,38774
NNI5982;0,886341;0,888273
NNM3913;0,219602;0,217322
NO84797;0,142324;0,144844
NOE1810;0,786169;0,789117
NOG3903;0,116871;0,114135
NMR7567;0,074502;0,073054
NNI5982;0,250882;0,247378
NNM3913;0,946416;0,949652
NO84797;0,110017;0,108101
NOE1814;0,279649;0,281985
NOG3903;0,125494;0,121934
NO84797;0,459476;0,456
NOE1810;0,274872;0,277204
NOG3903;0,67701;0,673054
NO84796;0,167142;0,165106
NOE1810;0,596081;0,599633
NOG3903;0,304148;0,302212
NO84797;0,576519;0,574003
NOE1810;0,28254;0,284884
NOG3903;0,234085;0,230753
RZE7144;0,509983;0,507743
RZE7144;0,446646;0,449442
RZE7144;0,612305;0,614173
