KOD;L2016;L2017;L2018;L2019;L2020;L2021
0201;90199;90180;90173;90200;90103;89762
0202;103349;102649;102077;101437;100813;99935
0203;90205;89989;89933;89541;89102;88447
0204;35940;35715;35473;35182;34870;34552
0205;51451;51176;50947;50545;50116;49734
0206;64599;64395;64178;63855;63591;42824
0207;44402;44262;43999;43621;43239;63333
0208;162465;161452;160465;159337;157996;156283
0209;55051;55182;55233;55326;55166;55110
0210;55533;55238;54991;54699;54254;53852
0211;106319;106355;106320;106254;106150;105896
0212;46677;46527;46360;46059;45925;45599
0213;37213;37148;37125;37093;36999;36800
0214;106486;106794;106907;107062;107269;107268
0215;76064;76329;76505;76595;76752;76733
0216;63057;63081;63017;62982;63065;62997
0217;44165;44052;44006;43773;43570;43221
0218;52837;53181;53722;54269;55079;55508
0219;159633;158939;158392;157615;156921;156015
0220;83699;84063;84495;84886;85253;85226
0221;57023;56788;56446;56004;55611;55107
0222;47194;47137;47124;47056;46818;46623
0223;134145;137419;141337;146060;151385;156322
0224;66971;66527;66009;65428;64802;64080
0225;91815;91258;90584;90003;89188;88386
0226;44598;44381;44126;43869;43490;43038
0261;81010;80524;80072;79480;79061;78335
0262;100886;100718;100324;99752;99350;98436
0265;115453;114568;113621;112594;111356;109971
0264;635759;637683;638586;640648;642869;641928
0401;55573;55347;55337;55274;55066;54891
0402;78431;78630;78879;78898;79097;79023
0403;112992;114418;115981;117325;118683;120432
0404;52361;52236;52292;52193;51925;51657
0405;45342;45250;45289;45140;45018;44855
0406;40346;40364;40368;40271;40238;40305
0407;162545;162011;161591;160647;159814;158496
0408;66823;66575;66517;66062;65750;65450
0409;46254;46197;46046;45821;45619;45482
0410;86841;86774;86764;86590;86311;86119
0411;41373;41169;40898;40714;40321;40025
0412;44384;44219;44029;43826;43486;43390
0413;41501;41392;41373;41147;41056;40826
0414;99764;99661;99505;99281;98952;98703
0415;103397;104477;105631;106935;108345;109565
0416;48381;48416;48438;48374;48383;48322
0417;34844;34752;34612;34413;34194;34040
0418;86758;86605;86604;86352;86037;85646
0419;70606;70528;70534;70413;70190;69886
0461;355645;353938;352313;350178;348190;344091
0462;96319;95964;95629;95045;94368;93564
0463;202689;202521;202562;202074;201447;198613
0464;113041;112483;111752;110802;109883;108561
0601;112507;112398;111922;111391;110772;109958
0602;102647;102272;101949;101435;100919;100333
0603;79377;79088;78579;78228;78014;77502
0604;65939;65195;64428;63698;62847;62009
0605;46895;46596;46306;46057;45709;45142
0606;65422;64921;64432;63925;63258;62552
0607;97569;97069;96574;96043;95348;94531
0608;89502;89326;89040;88789;88352;87850
0609;151178;152253;153380;154387;155566;156493
0610;57401;57420;57461;57457;57331;57218
0611;108597;108299;107896;107449;106816;106213
0612;60964;60586;60266;59726;59208;58706
0613;35628;35441;35140;34954;34711;34372
0614;115206;114722;114198;113762;113173;112384
0615;60287;59986;59640;59278;58858;58298
0616;57388;57005;56765;56166;55988;55530
0617;72642;72495;72412;72039;71840;71432
0618;85705;85105;84429;83715;82762;81944
0619;39280;39084;38853;38668;38353;37989
0620;108393;107928;107565;106935;106122;105354
0661;57414;57303;57545;57352;57170;56942
0662;64270;63734;63333;62670;61932;61135
0663;340727;340466;339850;339682;339784;338586
0664;64788;64648;64354;63813;63437;62785
0801;70929;71234;71438;71549;71836;72291
0802;55943;55759;55512;55245;54829;54598
0803;58496;58397;58249;58024;57565;57100
0804;87339;87127;86949;86634;86156;85733
0805;47275;47093;47068;47101;46929;46944
0806;50061;49842;49701;49366;49009;48621
0807;35596;35409;35351;35297;35193;35000
0808;56290;56204;56095;55840;55790;55520
0812;39297;39256;39196;39065;38831;38613
0809;75219;75314;75558;75750;75559;75673
0810;81006;80633;80114;79583;78953;78148
0811;98160;97783;97487;96876;96111;95423
0861;123762;123995;124295;123921;123609;122589
0862;138711;139330;139819;140297;141222;140892
1001;112916;113004;113028;112997;112779;112443
1021;30933;30912;30884;30890;30833;30648
1002;99258;98583;98018;97295;96569;95516
1003;50282;50285;50224;50103;49918;49736
1004;51062;50769;50527;50143;49747;49286
1005;79631;79340;78994;78616;78099;77614
1006;70430;70796;71182;71705;72179;72565
1007;77457;77203;76984;76623;76106;75524
1008;119518;119299;119285;119289;119291;118941
1009;52023;52003;51851;51597;51220;50952
1010;91283;91334;91301;91315;91353;91208
1011;41679;41484;41380;41205;41108;40906
1012;115125;114336;113923;113315;112644;111696
1013;49239;49081;48997;48808;48592;48385
1014;119268;119009;118692;118240;117674;116918
1015;38177;38198;38224;38195;38174;38173
1016;118671;118234;117852;117259;116519;115735
1017;77290;77238;77017;76699;76256;75736
1018;42195;42237;42255;42213;42105;41984
1019;67483;67248;67049;66766;66380;66064
