ID_OSOBY;ID_FILMU;ODCINKI
k01;f01;29
k01;f02;1
k01;f03;160
k01;f09;1
k01;f10;1
k01;f11;1
k01;f12;1
k01;f13;1
k01;f14;1
k01;f15;1
k01;f16;1
k01;f17;1
k01;f18;1
k01;f19;1
k01;f20;1
k01;f21;1
k01;f22;1
k01;f23;27
k01;f34;1
k01;f35;1
k01;f36;1
k01;f37;1
k01;f38;1
k01;f39;1
k01;f40;6
k01;f49;1
k01;f50;6
k01;f51;1
k01;f69;204
k01;f70;7
k01;f71;4
k01;f72;1
k01;f73;1
k01;f74;1
k01;f75;1
k01;f76;1
k01;f77;10
k01;f78;5
k01;f79;1
k01;f80;1
k01;f81;6
k01;f82;3
k01;f83;10
k01;f84;9
k01;f85;8
k01;f86;7
k01;f87;8
k01;f88;8
k01;f89;8
k01;f92;6
k01;f93;26
k02;f01;19
k02;f29;261
k02;f39;1
k02;f40;16
k02;f41;6
k02;f42;6
k02;f43;8
k02;f44;1
k02;f45;1
k02;f69;204
k02;f81;6
k02;f82;3
k02;f83;20
k02;f84;9
k02;f85;10
k02;f93;26
k03;f09;1
k03;f10;1
k03;f11;1
k03;f12;1
k03;f13;1
k03;f14;1
k03;f15;1
k03;f16;1
k03;f17;1
k03;f18;1
k03;f19;1
k03;f20;1
k03;f21;1
k03;f22;1
k03;f24;1
k03;f25;1
k03;f26;1
k03;f27;1
k03;f28;1
k03;f31;1
k03;f32;1
k03;f33;9
k03;f34;1
k03;f35;1
k03;f36;1
k03;f37;1
k03;f38;1
k03;f39;1
k03;f81;6
k03;f82;3
k03;f83;20
k03;f84;9
k03;f85;10
k03;f86;7
k03;f92;6
k03;f93;26
k04;f01;29
k04;f02;1
k04;f03;160
k04;f23;27
k04;f24;1
k04;f25;1
k04;f26;1
k04;f27;1
k04;f28;1
k04;f29;261
k04;f30;10
k04;f31;1
k04;f43;8
k04;f44;1
k04;f45;1
k04;f46;1
k04;f47;8
k04;f49;1
k04;f50;6
k04;f51;1
k04;f52;6
k04;f53;1
k04;f72;1
k04;f73;1
k04;f74;1
k04;f75;1
k04;f76;1
k04;f77;10
k04;f92;6
k05;f93;26
k05;f04;19
k05;f05;10
k05;f06;16
k05;f07;10
k05;f08;208
k05;f09;1
k05;f10;1
k05;f11;1
k05;f13;1
k05;f14;1
k05;f20;1
k05;f21;1
k05;f22;1
k05;f23;27
k05;f29;261
k05;f31;1
k05;f32;1
k05;f35;1
k05;f37;1
k05;f39;1
k05;f40;16
k05;f41;6
k05;f43;8
k05;f44;1
k05;f46;1
k05;f47;8
k05;f49;1
k05;f50;6
k05;f51;1
k05;f52;6
k05;f54;16
k05;f55;7
k05;f56;1
k05;f57;1
k05;f58;1
k05;f59;1
k05;f60;1
k05;f61;8
k05;f62;6
k05;f64;1
k05;f65;1
k05;f67;1
k05;f68;1
k05;f69;204
k05;f70;7
k05;f71;4
k05;f72;1
k05;f74;1
k05;f76;1
k05;f77;10
k05;f78;5
k05;f79;1
k05;f82;3
k05;f83;20
k05;f84;9
k05;f87;8
k05;f88;8
k05;f89;8
k05;f90;6
k05;f92;6
k05;f93;26
k06;f02;1
k06;f03;160
k06;f04;19
k06;f05;10
k06;f23;27
k06;f24;1
k06;f25;1
k06;f26;1
k06;f27;1
k06;f28;1
k06;f29;261
k06;f30;10
k06;f50;6
k06;f51;1
k06;f52;6
k06;f90;6
k06;f91;10
k06;f92;6
k06;f93;26
k07;f02;1
k07;f09;1
k07;f10;1
k07;f11;1
k07;f12;1
k07;f13;1
k07;f14;1
k07;f15;1
k07;f24;1
k07;f25;1
k07;f27;1
k07;f28;1
k07;f33;1
k07;f34;1
k07;f35;1
k07;f36;1
k07;f37;1
k07;f38;1
k07;f39;1
k07;f65;1
k07;f66;1
k07;f67;1
k07;f68;1
k07;f79;1
k07;f80;1
k08;f41;6
k08;f42;6
k08;f43;8
k08;f49;1
k08;f53;1
k08;f55;7
k08;f56;1
k08;f57;1
k08;f58;1
k08;f65;1
k08;f66;1
k08;f67;1
k08;f68;1
k08;f69;204
k08;f70;7
k08;f71;4
k08;f72;1
k08;f73;1
k08;f74;1
k09;f03;160
k09;f04;19
k09;f05;10
k09;f06;16
k09;f07;10
k09;f08;208
k09;f09;1
k09;f10;1
k09;f11;1
k09;f12;1
k09;f31;1
k09;f32;1
k09;f33;9
k09;f34;1
k09;f35;1
k09;f36;1
k09;f52;6
k09;f53;1
k09;f54;16
k09;f55;7
k09;f56;1
k09;f57;1
k09;f58;1
k09;f59;1
k09;f60;1
k09;f61;8
k09;f62;6
k09;f63;1
k09;f76;1
k09;f77;10
k09;f78;5
k09;f79;1
k09;f80;1
k09;f81;6
k09;f93;26
k11;f01;29
k11;f02;1
k11;f03;160
k11;f09;1
k11;f10;1
k11;f37;1
k11;f38;1
k11;f52;6
k11;f53;1
k11;f71;4
k11;f72;1
k11;f73;1
k11;f74;1
k11;f75;1
k11;f76;1
k11;f77;5
k11;f78;5
k11;f79;1
k11;f80;1
k11;f81;6
k11;f82;3
k12;f01;29
k12;f03;160
k12;f04;19
k12;f06;16
k12;f07;10
k12;f30;10
k12;f33;9
k12;f40;16
k12;f41;6
k12;f42;6
k12;f43;8
k12;f47;8
k12;f50;6
k12;f52;6
k12;f54;16
k12;f55;7
k12;f61;8
k12;f62;6
k12;f69;204
k12;f70;7
k12;f71;1
k12;f77;10
k12;f78;5
k12;f81;6
k12;f82;1
k12;f83;20
k12;f84;9
k12;f85;10
k12;f86;7
k12;f87;8
k12;f88;8
k12;f89;8
k12;f90;6
k12;f91;10
k12;f92;6
k12;f93;26
k13;f29;261
k13;f30;10
k13;f31;1
k14;f01;29
k14;f09;1
k14;f10;1
k14;f11;1
k14;f12;1
k14;f13;1
k14;f14;1
k14;f15;1
k14;f16;1
k14;f17;1
k14;f18;1
k14;f19;1
k14;f20;1
k14;f21;1
k14;f22;1
k14;f24;1
k14;f25;1
k14;f26;1
k14;f27;1
k14;f28;1
k14;f37;1
k14;f38;1
k14;f39;1
k14;f40;1
k14;f49;1
k14;f56;1
k14;f57;1
k14;f58;1
k14;f59;1
k14;f60;1
k15;f56;1
k15;f57;1
k15;f58;1
k15;f69;204
k15;f91;10
k15;f92;6
k15;f93;26
k16;f01;29
k16;f02;1
k16;f23;27
k16;f24;1
k16;f25;1
k16;f26;1
k16;f27;1
k16;f28;1
k16;f52;6
k16;f54;16
k16;f55;7
k16;f57;1
k16;f58;1
k16;f60;1
k16;f62;6
k16;f64;1
k16;f65;1
k16;f66;1
k16;f67;1
k17;f68;1
k17;f69;204
k17;f70;7
k17;f71;4
k17;f74;1
k17;f75;1
k17;f77;10
k17;f79;1
k17;f80;1
k17;f82;3
k17;f83;20
k17;f85;10
k17;f86;7
k17;f88;8
k17;f89;8
k17;f91;10
k17;f93;26
k18;f04;19
k18;f08;208
k18;f12;1
k18;f16;1
k18;f18;1
k18;f22;1
k18;f24;1
k18;f25;1
k18;f26;1
k18;f32;1
k18;f35;1
k18;f39;1
k18;f41;6
k18;f45;1
k18;f53;1
k18;f54;16
k18;f59;1
k18;f62;6
k18;f66;1
k18;f71;4
k18;f73;1
k18;f76;1
k18;f77;10
k18;f82;3
k18;f84;9
k18;f85;10
k18;f87;8
k18;f90;6
k18;f91;10
k18;f93;26
k19;f01;29
k19;f23;27
k19;f29;261
k19;f30;10
k19;f33;9
k19;f47;1
k19;f50;6
k19;f52;6
k19;f54;16
k19;f55;7
k19;f89;1
k19;f90;6
k19;f91;10
k19;f92;6
k19;f93;26
k20;f01;29
k20;f14;1
k20;f15;1
k20;f16;1
k20;f34;1
k20;f35;1
k20;f76;1
k20;f77;10
k20;f78;5
k20;f79;1
k20;f80;1
k20;f81;6
k20;f82;3
k20;f83;20
k20;f84;9
k20;f85;10
k20;f86;7
k20;f87;8
k20;f88;8
k20;f89;8
k20;f90;6
k20;f91;10
k20;f92;6
k20;f93;26
k21;f18;1
k21;f22;1
k21;f24;1
k21;f25;1
k21;f26;1
k21;f32;1
k21;f35;1
k21;f39;1
k21;f41;6
k21;f45;1
k21;f53;1
k21;f54;16
k21;f59;1
k21;f62;6
k21;f66;1
k21;f71;4
k21;f73;1
k21;f76;1
k21;f77;10
k21;f82;3
k21;f84;9
k21;f85;10
k21;f87;8
k22;f01;29
k22;f02;1
k22;f03;160
k22;f04;19
k22;f05;5
k22;f06;16
k22;f07;10
k22;f08;208
k22;f23;27
k22;f29;261
k22;f30;10
k22;f31;1
k22;f32;1
k22;f33;9
k22;f40;16
k22;f41;2
k22;f42;6
k22;f43;8
k22;f44;1
k22;f45;1
k22;f46;1
k22;f47;8
k22;f50;6
k22;f52;6
k22;f54;16
k22;f55;7
k22;f61;8
k22;f62;6
k22;f69;204
k22;f70;7
k22;f71;4
k22;f77;10
k22;f78;5
k22;f81;6
k22;f82;3
k22;f83;20
k22;f84;9
k22;f85;10
k22;f86;7
k22;f87;8
k22;f88;8
k22;f89;8
k22;f90;6
k22;f91;10
k22;f92;6
k22;f93;26
k23;f01;29
k23;f02;1
k23;f03;160
k23;f04;19
k23;f05;10
k23;f06;16
k23;f07;10
k23;f08;208
k23;f23;27
k23;f29;261
k23;f30;10
k23;f31;1
k23;f32;1
k23;f33;9
k23;f40;16
k23;f41;4
k23;f42;6
k23;f43;8
k23;f44;1
k23;f45;1
k23;f46;1
k23;f47;8
k23;f50;6
k23;f52;6
k23;f54;16
k23;f55;7
k23;f61;8
k23;f62;3
k23;f69;204
k23;f70;7
k23;f71;4
