LP,Data_przybycia,Nr_IMO,Bandera,Nabrzeze
1,2016/01/01,8415653,NO,HUTA (KRA)
2,2016/01/01,9201803,NL,CZESKIE
3,2016/01/01,8873764,RU,GLIWICKIE
4,2016/01/01,9374727,CY,HUK
5,2016/01/01,9252929,GI,PARNICKIE
6,2016/01/01,9549619,RU,BULGARSKIE
7,2016/01/01,9584865,CY,FINSKIE
8,2016/01/02,9390393,AG,WEGIERSKIE
9,2016/01/02,9179361,CY,GDYNSKIE S
10,2016/01/02,8918734,NL,WEGIERSKIE
11,2016/01/02,8815786,AG,PRZEMYSLOWE
12,2016/01/02,7615749,PL,SPOLDZIELCZE
13,2016/01/02,7704057,PL,SLOWACKIE
14,2016/01/03,9173214,MT,BULGARSKIE
15,2016/01/03,8905892,AG,BELGIJSKIE
16,2016/01/03,8501062,VC,DRZETOWSKIE N
17,2016/01/03,9528500,GI,SLOWACKIE
18,2016/01/03,9344497,IE,CZESKIE
19,2016/01/04,9148142,NL,FANT
20,2016/01/04,8881723,RU,GLIWICKIE
21,2016/01/04,7641475,PL,CAL
22,2016/01/04,8702252,RU,BULGARSKIE
23,2016/01/04,7704057,PL,CAL
24,2016/01/04,7419200,MT,BYTOMSKIE
25,2016/01/05,7615749,PL,SPOLDZIELCZE
26,2016/01/05,9118496,NO,HUTA (KRA)
27,2016/01/05,9341782,NL,GORNOSLASKIE
28,2016/01/05,8706349,CY,FARBOLAK SWFIL
29,2016/01/05,9219874,NL,CZESKIE
30,2016/01/05,8404458,VU,PARNICKIE
31,2016/01/06,7615749,PL,SPOLDZIELCZE
32,2016/01/06,8915536,AG,POLSKIE
33,2016/01/06,9385922,NL,KATOWICKIE
34,2016/01/06,9294692,DK,HUTA (KRA)
35,2016/01/06,9582867,AG,REGALICA
36,2016/01/06,8919221,AG,REGALICA
37,2016/01/06,8321656,DK,MAZOWIECKIE
38,2016/01/07,9065948,LV,HUK
39,2016/01/07,9195705,NL,SNOP N
40,2016/01/07,9361366,NL,CEMENTOWE
41,2016/01/08,7615749,PL,SPOLDZIELCZE
42,2016/01/08,9015929,NL,HUTA (KRA)
43,2016/01/08,9014705,MT,GORNOSLASKIE
44,2016/01/08,9404065,AG,FINSKIE
45,2016/01/08,6605448,PL,WARSZTATOWE
46,2016/01/08,9179311,FI,REGALICA
47,2016/01/09,9360996,CY,CZESKIE
48,2016/01/09,9298040,MT,CPN III
49,2016/01/09,8835853,CY,KATOWICKIE
50,2016/01/09,9461594,CY,FINSKIE
51,2016/01/09,9190080,CY,CHORZOWSKIE
52,2016/01/09,9279070,AG,BYTOMSKIE
53,2016/01/09,8402577,AG,HUTA (KRA)
54,2016/01/09,9341782,NL,GORNOSLASKIE
55,2016/01/10,9198446,BB,ANGIELSKIE
56,2016/01/10,7704057,PL,CAL
57,2016/01/10,9489546,NL,CZESKIE
58,2016/01/10,9342164,AG,SNOP S
59,2016/01/11,9529190,NL,BYTOMSKIE
60,2016/01/11,9549619,RU,BULGARSKIE
61,2016/01/11,9341720,NL,CZESKIE
62,2016/01/11,9148207,LV,HUTA (KRA)
63,2016/01/11,9584994,MT,KATOWICKIE
64,2016/01/11,9201803,NL,SLOWACKIE
65,2016/01/11,9336701,DK,FOSFATOWE DALBY
66,2016/01/12,9576703,AG,REGALICA
67,2016/01/12,7615749,PL,FARBOLAK SWFIL
68,2016/01/12,9287699,MT,FINSKIE
69,2016/01/12,9344320,PT,PARNICKIE
70,2016/01/12,9279056,NL,CZESKIE
71,2016/01/12,9180841,MT,BULGARSKIE
72,2016/01/12,8300327,PA,BULGARSKIE
73,2016/01/12,8611013,AG,REGALICA
74,2016/01/13,8023527,DK,FOSFATOWE DALBY
75,2016/01/13,9341782,NL,PIRS E
76,2016/01/14,9356488,NL,HOLENDERSKIE
77,2016/01/14,9252931,GI,PARNICKIE
78,2016/01/14,9219874,NL,CZESKIE
79,2016/01/14,7704057,PL,CAL
80,2016/01/14,9054963,NL,BYTOMSKIE
81,2016/01/15,9461594,CY,FINSKIE
82,2016/01/15,9199402,GI,SLOWACKIE
83,2016/01/15,9344320,PT,PARNICKIE
84,2016/01/15,9277278,AG,HUTA (KRA)
85,2016/01/15,9349186,AG,CZESKIE
86,2016/01/15,9030515,NO,REMONTOWE
87,2016/01/16,9122227,AG,CZESKIE
88,2016/01/16,8918605,SG,FOSFATOWE DALBY
89,2016/01/16,9136096,BE,GORNOSLASKIE
90,2016/01/16,7615749,PL,CZESKIE
91,2016/01/16,8402668,VC,CHORZOWSKIE
92,2016/01/16,7704057,PL,CAL
93,2016/01/16,8519241,AG,GORNOSLASKIE
94,2016/01/16,8129395,FO,GLIWICKIE
95,2016/01/16,8905892,AG,BELGIJSKIE
96,2016/01/16,9466295,NL,SLOWACKIE
97,2016/01/16,9245263,AG,KATOWICKIE
98,2016/01/16,8407711,CY,ARSENAL
99,2016/01/16,9086605,FI,SLOWACKIE
100,2016/01/17,7615749,PL,SPOLDZIELCZE
101,2016/01/17,8400050,BS,BULGARSKIE
102,2016/01/17,9313785,NL,SLOWACKIE
103,2016/01/17,9279020,BB,BYTOMSKIE
104,2016/01/17,9341782,NL,PIRS W
105,2016/01/17,9360996,CY,FINSKIE
106,2016/01/17,9149732,IT,GNIE????NIENSKIE
107,2016/01/17,8504179,AG,HUTA (KRA)
108,2016/01/17,9077575,RU,CZESKIE
109,2016/01/18,9281786,GI,REGALICA
110,2016/01/18,9229051,NL,FARBOLAK SWFIL
111,2016/01/18,7615749,PL,SPOLDZIELCZE
112,2016/01/18,8918708,NL,WEGIERSKIE
113,2016/01/18,7419200,MT,WALBRZYSKIE
114,2016/01/18,8842545,RU,SLOWACKIE
115,2016/01/18,8628133,RU,FOSFATOWE
116,2016/01/18,9431587,NL,PARNICKIE
117,2016/01/18,9101730,AG,GDANSKIE
118,2016/01/19,9085455,BE,GLIWICKIE
119,2016/01/19,9313802,NL,BULGARSKIE
120,2016/01/19,9287297,MH,KATOWICKIE - DALBY
121,2016/01/19,9128403,LV,SNOP N
122,2016/01/19,8611013,AG,SNOP S
123,2016/01/19,9231846,AG,FINSKIE
124,2016/01/20,9087647,PA,SLOWACKIE
125,2016/01/20,9341782,NL,PIRS W
126,2016/01/20,9268241,GI,FARBOLAK SWFIL
127,2016/01/21,9558050,GB,SLOWACKIE
128,2016/01/21,9393278,NL,PRZEMYSLOWE
129,2016/01/21,8918734,NL,WEGIERSKIE
130,2016/01/21,8609931,LV,KATOWICKIE
131,2016/01/21,9219874,NL,FINSKIE
132,2016/01/22,9734264,BS,CEMENTOWE
133,2016/01/22,9359650,FO,DOK 1
134,2016/01/22,9483669,CY,CZESKIE
135,2016/01/22,9552070,AG,SLOWACKIE
136,2016/01/22,9345362,BE,HOLENDERSKIE
137,2016/01/22,8706349,CY,FARBOLAK SWFIL
138,2016/01/22,9382748,NL,ANGIELSKIE
139,2016/01/22,8818075,AG,OKO
140,2016/01/22,9374674,DE,WEGIERSKIE
141,2016/01/22,7704057,PL,CAL
142,2016/01/22,9404065,AG,FINSKIE
143,2016/01/22,9375903,AG,WULKAN S
144,2016/01/22,8511029,DE,DRZETOWSKIE N
145,2016/01/22,9518426,AG,REGALICA
146,2016/01/23,8320585,DM,POLSKIE
147,2016/01/23,7641475,PL,CAL
148,2016/01/23,8906298,MT,HUTA (KRA)
149,2016/01/23,9083201,RU,CHORZOWSKIE
150,2016/01/23,8416798,CK,CHORZOWSKIE
151,2016/01/23,9454802,AG,BULGARSKIE
152,2016/01/23,9196216,NL,SNOP S
153,2016/01/23,7615749,PL,CZESKIE
154,2016/01/23,7823334,VC,HUTA (KRA)
155,2016/01/24,9385908,NL,GORNOSLASKIE
156,2016/01/24,8400050,BS,POLSKIE
157,2016/01/24,8404446,BE,BULGARSKIE
158,2016/01/24,8211629,CK,OKO
159,2016/01/24,9155913,NL,GDYNSKIE N
160,2016/01/24,9350939,NL,CZESKIE
161,2016/01/24,9117961,BS,REGALICA
162,2016/01/24,8922266,BS,KATOWICKIE
163,2016/01/24,7615749,PL,SPOLDZIELCZE
164,2016/01/24,9341172,FO,BYTOMSKIE
165,2016/01/25,9106584,LT,HUTA (KRA)
166,2016/01/25,8404757,NO,DRZETOWSKIE N
167,2016/01/25,9123300,DE,KATOWICKIE
168,2016/01/25,9360996,CY,FINSKIE
169,2016/01/25,9140956,BS,BULGARSKIE
170,2016/01/25,7615749,PL,SPOLDZIELCZE
171,2016/01/25,9100138,NO,WEGIERSKIE
172,2016/01/25,9279020,BB,GDYNSKIE N
173,2016/01/26,8913485,BB,WALBRZYSKIE
174,2016/01/26,9108740,NO,HUTA (KRA)
175,2016/01/26,9287699,MT,FINSKIE
176,2016/01/26,7704057,PL,CAL
177,2016/01/26,8636817,SE,ROSYJSKIE
178,2016/01/26,7615749,PL,SPOLDZIELCZE
179,2016/01/27,9313773,NL,WALBRZYSKIE
180,2016/01/27,8905892,AG,BELGIJSKIE
181,2016/01/27,6808090,VC,GLIWICKIE
182,2016/01/28,9341732,NL,HUK
183,2016/01/28,9174713,CY,FARBOLAK SWFIL
184,2016/01/28,9370721,PA,SNOP N
185,2016/01/28,8820107,MT,SLOWACKIE
186,2016/01/28,9402689,GI,FOSFATOWE DALBY
187,2016/01/28,9522958,MT,GORNOSLASKIE
188,2016/01/28,9125695,MT,SNOP N
189,2016/01/29,9201803,NL,CZESKIE
190,2016/01/29,9219874,NL,CZESKIE
191,2016/01/29,9123570,BB,RUMUNSKIE
192,2016/01/29,9411783,NL,ANGIELSKIE
193,2016/01/29,9290684,AG,PRZEMYSLOWE
194,2016/01/29,9195810,FI,GLIWICKIE
195,2016/01/29,9349186,AG,FINSKIE
196,2016/01/30,9612533,NL,PARNICKIE
197,2016/01/31,7382677,BB,HUK
198,2016/01/31,9361366,NL,CEMENTOWE
199,2016/01/31,8504179,AG,HUTA (KRA)
200,2016/01/31,8801084,NL,WALBRZYSKIE
201,2016/01/31,9163582,BS,PARNICKIE
202,2016/01/31,9155688,LT,PRZEMYSLOWE
203,2016/01/31,9142631,NL,HUTA (KRA)
204,2016/02/01,9313864,NL,PARNICKIE
205,2016/02/01,9201798,NL,CHORZOWSKIE
206,2016/02/01,9148166,AG,KATOWICKIE
207,2016/02/01,9195652,NL,FOSFATOWE
208,2016/02/01,9017434,CY,PRZEMYSLOWE
209,2016/02/01,9122227,AG,CZESKIE
210,2016/02/02,9085455,BE,GORNOSLASKIE
211,2016/02/02,9341782,NL,HUTA (KRA)
212,2016/02/02,9148180,NL,SLOWACKIE
213,2016/02/02,9180841,MT,BULGARSKIE
214,2016/02/02,9231846,AG,FINSKIE
215,2016/02/02,9266425,NL,FARBOLAK SWFIL
216,2016/02/02,9360996,CY,CZESKIE
217,2016/02/02,9638147,MT,GLIWICKIE
218,2016/02/03,9300489,PT,PARNICKIE
219,2016/02/03,8801113,AG,DRZETOWSKIE N
220,2016/02/03,7814462,BS,BULGARSKIE
